trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9004-0724,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0724,10:19:00,10:19:00,paris_nord,2,0,1
9004-0727,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0727,10:19:00,10:19:00,paris_nord,2,0,1
9004-0728,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0728,10:29:00,10:29:00,paris_nord,2,0,1
9004-0729,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0729,10:29:00,10:29:00,paris_nord,2,0,1
9004-0730,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0730,10:29:00,10:29:00,paris_nord,2,0,1
9004-0731,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0731,10:29:00,10:29:00,paris_nord,2,0,1
9004-0803,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0803,10:29:00,10:29:00,paris_nord,2,0,1
9004-0804,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0804,10:29:00,10:29:00,paris_nord,2,0,1
9004-0805,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0805,10:29:00,10:29:00,paris_nord,2,0,1
9004-0806,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0806,10:29:00,10:29:00,paris_nord,2,0,1
9004-0807,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0807,10:29:00,10:29:00,paris_nord,2,0,1
9004-0810,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0810,10:29:00,10:29:00,paris_nord,2,0,1
9004-0811,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0811,10:29:00,10:29:00,paris_nord,2,0,1
9004-0812,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0812,10:29:00,10:29:00,paris_nord,2,0,1
9004-0813,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0813,10:29:00,10:29:00,paris_nord,2,0,1
9004-0814,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0814,10:29:00,10:29:00,paris_nord,2,0,1
9004-0817,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0817,10:29:00,10:29:00,paris_nord,2,0,1
9004-0818,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0818,10:29:00,10:29:00,paris_nord,2,0,1
9004-0819,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0819,10:29:00,10:29:00,paris_nord,2,0,1
9004-0820,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0820,10:29:00,10:29:00,paris_nord,2,0,1
9004-0821,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0821,10:29:00,10:29:00,paris_nord,2,0,1
9004-0824,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0824,10:29:00,10:29:00,paris_nord,2,0,1
9004-0825,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0825,10:29:00,10:29:00,paris_nord,2,0,1
9004-0826,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0826,10:29:00,10:29:00,paris_nord,2,0,1
9004-0827,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0827,10:29:00,10:29:00,paris_nord,2,0,1
9004-0828,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0828,10:29:00,10:29:00,paris_nord,2,0,1
9004-0901,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0901,10:29:00,10:29:00,paris_nord,2,0,1
9004-0902,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0902,10:29:00,10:29:00,paris_nord,2,0,1
9004-0903,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0903,10:29:00,10:29:00,paris_nord,2,0,1
9004-0904,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0904,10:29:00,10:29:00,paris_nord,2,0,1
9004-0907,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0907,10:29:00,10:29:00,paris_nord,2,0,1
9004-0908,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0908,10:29:00,10:29:00,paris_nord,2,0,1
9006-0611,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0611,10:49:00,10:49:00,paris_nord,2,0,1
9006-0612,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0612,10:49:00,10:49:00,paris_nord,2,0,1
9006-0613,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0613,10:49:00,10:49:00,paris_nord,2,0,1
9006-0615,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0615,10:49:00,10:49:00,paris_nord,2,0,1
9006-0618,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0618,10:49:00,10:49:00,paris_nord,2,0,1
9006-0619,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0619,10:49:00,10:49:00,paris_nord,2,0,1
9006-0620,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0620,10:49:00,10:49:00,paris_nord,2,0,1
9006-0622,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0622,10:49:00,10:49:00,paris_nord,2,0,1
9006-0625,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0625,10:49:00,10:49:00,paris_nord,2,0,1
9006-0626,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0626,10:49:00,10:49:00,paris_nord,2,0,1
9006-0627,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0627,10:49:00,10:49:00,paris_nord,2,0,1
9006-0629,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0629,10:49:00,10:49:00,paris_nord,2,0,1
9006-0702,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0702,10:49:00,10:49:00,paris_nord,2,0,1
9006-0703,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0703,10:49:00,10:49:00,paris_nord,2,0,1
9006-0704,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0704,10:49:00,10:49:00,paris_nord,2,0,1
9006-0706,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0706,10:49:00,10:49:00,paris_nord,2,0,1
9006-0709,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0709,10:49:00,10:49:00,paris_nord,2,0,1
9006-0710,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0710,10:49:00,10:49:00,paris_nord,2,0,1
9006-0711,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0711,10:49:00,10:49:00,paris_nord,2,0,1
9006-0713,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0713,10:49:00,10:49:00,paris_nord,2,0,1
9006-0716,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0716,10:49:00,10:49:00,paris_nord,2,0,1
9006-0717,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0717,10:49:00,10:49:00,paris_nord,2,0,1
9006-0718,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0718,10:49:00,10:49:00,paris_nord,2,0,1
9006-0720,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0720,10:49:00,10:49:00,paris_nord,2,0,1
9006-0723,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0723,10:49:00,10:49:00,paris_nord,2,0,1
9006-0724,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0724,10:49:00,10:49:00,paris_nord,2,0,1
9006-0725,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0725,10:49:00,10:49:00,paris_nord,2,0,1
9006-0727,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0727,10:49:00,10:49:00,paris_nord,2,0,1
9006-0730,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0730,10:59:00,10:59:00,paris_nord,2,0,1
9006-0731,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0731,10:59:00,10:59:00,paris_nord,2,0,1
9006-0801,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0801,10:59:00,10:59:00,paris_nord,2,0,1
9006-0803,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0803,10:59:00,10:59:00,paris_nord,2,0,1
9006-0806,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0806,10:59:00,10:59:00,paris_nord,2,0,1
9006-0807,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0807,10:59:00,10:59:00,paris_nord,2,0,1
9006-0808,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0808,10:59:00,10:59:00,paris_nord,2,0,1
9006-0810,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0810,10:59:00,10:59:00,paris_nord,2,0,1
9006-0813,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0813,10:59:00,10:59:00,paris_nord,2,0,1
9006-0814,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0814,10:59:00,10:59:00,paris_nord,2,0,1
9006-0815,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0815,10:59:00,10:59:00,paris_nord,2,0,1
9006-0817,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0817,10:59:00,10:59:00,paris_nord,2,0,1
9006-0820,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0820,10:59:00,10:59:00,paris_nord,2,0,1
9006-0821,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0821,10:59:00,10:59:00,paris_nord,2,0,1
9006-0822,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0822,10:59:00,10:59:00,paris_nord,2,0,1
9006-0824,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0824,10:59:00,10:59:00,paris_nord,2,0,1
9006-0827,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0827,10:59:00,10:59:00,paris_nord,2,0,1
9006-0828,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0828,10:59:00,10:59:00,paris_nord,2,0,1
9006-0829,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0829,10:59:00,10:59:00,paris_nord,2,0,1
9006-0903,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0903,10:59:00,10:59:00,paris_nord,2,0,1
9006-0904,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0904,10:59:00,10:59:00,paris_nord,2,0,1
9006-0905,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0905,10:59:00,10:59:00,paris_nord,2,0,1
9006-0907,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0907,10:59:00,10:59:00,paris_nord,2,0,1
9007-0611,07:12:00,07:12:00,paris_nord,1,1,0
9007-0611,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0612,07:12:00,07:12:00,paris_nord,1,1,0
9007-0612,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0613,07:12:00,07:12:00,paris_nord,1,1,0
